Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,
J1,PinSocket_1x01_P2.54mm_Vertical,1,(9V)IN+,
J10,PinHeader_1x02_P2.54mm_Vertical,1,Salidas Sen Fish PLC,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Salidas Foto Fish PLC,
J12,PinHeader_1x02_P2.54mm_Vertical,1,Entradas Foto Fisher,
J13,PinHeader_1x04_P2.54mm_Vertical,1,Entrada Digital a PLC,
J14,PinHeader_1x04_P2.54mm_Vertical,1,Entrada Digital 5V to 9V,
J15,PinHeader_1x03_P2.54mm_Vertical,1,Entrada Digital a PLC,
J16,PinHeader_1x03_P2.54mm_Vertical,1,Entrada Digital Ard,
J2,PinSocket_1x01_P2.54mm_Vertical,1,(9V)IN-,
J3,PinSocket_1x01_P2.54mm_Vertical,1,(10V)OUTPUT-,
"J30, J31",PinHeader_1x02_P2.54mm_Vertical,2,Zona Roja Fototransistor (Entrada),
"J37, J8",PinSocket_2x04_P2.54mm_Vertical,2,Salidas Voltages,
J38,PinHeader_1x02_P2.54mm_Vertical,1,Entradas Sensores Fisher,
J39,PinHeader_1x02_P2.54mm_Vertical,1,Salidas Sen Ard PLC,
J4,PinSocket_1x01_P2.54mm_Vertical,1,(10V)OUTPUT+,
"J5, J7","TerminalBlock_Phoenix_MKDS-1,5-6_1x06_P5.00mm_Horizontal",2,Screw_Terminal_01x06,
J6,PinHeader_2x04_P2.54mm_Vertical,1,Tierras,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Entradas Sensores Ard,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-92_Inline,9,2N3904,
"R1, R12, R15, R16, R17, R18, R23, R24, R25, R26, R3, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,12,10k,
"R10, R11, R13, R14, R19, R20, R21, R22, R27, R28, R29, R30, R31, R32, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,18,1k,
"R2, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,15k,
"U1, U2",DIP-8_W7.62mm_LongPads,2,LM358,
