Designator,Mid X,Mid Y,Rotation,Layer
D1,201.3,-45.45,0.0,top
J1,227.475,-88.5,90.0,top
J10,266.5,-113.75,270.0,top
J11,195.42,-101.83,180.0,top
J12,220.22,-101.83,0.0,top
J13,195.42,-66.91,0.0,top
J14,220.22,-66.91,180.0,top
J15,275.0,-54.995,0.0,top
J16,252.5,-54.995,180.0,top
J2,246.0,-88.525,90.0,top
J3,245.975,-47.525,90.0,top
J30,275.0,-70.725,180.0,top
J31,275.0,-83.85,180.0,top
J37,235.945,-34.7,180.0,top
J38,266.474405,-92.97,90.0,top
J39,237.95,-114.28,270.0,top
J4,227.475,-47.5,90.0,top
J5,207.44,-34.455,180.0,top
J6,243.9975,-34.7,180.0,top
J7,264.5,-34.455,180.0,top
J8,227.9175,-34.7,180.0,top
J9,237.904405,-95.62,90.0,top
Q1,205.46,-110.0,90.0,top
Q2,205.46,-97.0,90.0,top
Q3,211.42,-61.48,270.0,top
Q4,211.42,-52.44,270.0,top
Q5,211.42,-70.71,270.0,top
Q6,211.42,-81.71,270.0,top
Q7,268.65,-46.3,270.0,top
Q8,268.56,-54.995,270.0,top
Q9,268.65,-62.98,270.0,top
R1,274.5,-97.5,270.0,top
R10,212.96,-110.0,180.0,top
R11,206.735,-102.83,180.0,top
R12,212.96,-95.0,0.0,top
R13,212.96,-98.5,180.0,top
R14,206.735,-90.33,180.0,top
R15,246.0,-100.5,270.0,top
R16,229.5,-100.54,270.0,top
R17,246.0,-107.96,270.0,top
R18,229.5,-108.0,270.0,top
R19,204.52,-69.21,0.0,top
R2,274.5,-104.96,270.0,top
R20,204.56,-79.71,0.0,top
R21,204.6,-72.71,180.0,top
R22,204.56,-83.71,180.0,top
R23,263.5,-71.554,0.0,top
R24,263.5,-74.55,180.0,top
R25,263.5,-79.85,0.0,top
R26,263.5,-83.0,180.0,top
R27,261.71,-44.65,0.0,top
R28,261.71,-48.05,180.0,top
R29,261.61,-53.275,0.0,top
R3,258.5,-97.5,270.0,top
R30,261.595,-56.025,180.0,top
R31,261.685,-61.31,0.0,top
R32,261.675,-64.76,180.0,top
R4,258.5,-104.96,270.0,top
R5,204.56,-50.71,0.0,top
R6,204.52,-59.71,0.0,top
R7,204.56,-63.21,180.0,top
R8,204.56,-54.21,180.0,top
R9,212.96,-106.5,0.0,top
U1,266.5,-101.54,180.0,top
U2,237.98,-103.7,180.0,top
