"#","Reference","Qty","Value","Footprint","DNP"
"1","D1","1","1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal",""
"2","J1","1","(9V)IN+","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"3","J2","1","(9V)IN-","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"4","J3","1","(10V)OUTPUT-","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"5","J4","1","(10V)OUTPUT+","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"6","J5, J7","2","Screw_Terminal_01x06","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-6_1x06_P5.00mm_Horizontal",""
"7","J6","1","Tierras","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"8","J8, J37","2","Salidas Voltages","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"9","J9","1","Entradas Sensores Ard","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"10","J10","1","Salidas Sen Fish PLC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"11","J11","1","Salidas Foto Fish PLC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"12","J12","1","Entradas Foto Fisher","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"13","J13","1","Entrada Digital a PLC","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"14","J14","1","Entrada Digital 5V to 9V","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"15","J15","1","Entrada Digital a PLC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"16","J16","1","Entrada Digital Ard","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"17","J30, J31","2","Zona Roja Fototransistor (Entrada)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"18","J38","1","Entradas Sensores Fisher","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"19","J39","1","Salidas Sen Ard PLC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"20","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9","9","2N3904","Package_TO_SOT_THT:TO-92_Inline",""
"21","R1, R3, R9, R12, R15, R16, R17, R18, R23, R24, R25, R26","12","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"22","R2, R4","2","15k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"23","R5, R6, R7, R8, R10, R11, R13, R14, R19, R20, R21, R22, R27, R28, R29, R30, R31, R32","18","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"24","U1, U2","2","LM358","Package_DIP:DIP-8_W7.62mm_LongPads",""
