Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C2, C20, C21, C28, C29, C3, C32, C35, C4, C9",0603,16,C0603/100nF/50V,C14663
"C11, C16, C17, C18, C19, C24, C25, C30, C33, C5, C6, C7, C8",0402,13,C0402/100nF/16V,C1525
"C22, C23, C26, C27",0402,4,C0402/1uF/25V,C52923
"C31, C34",CP_Elec_8x10,2,CD8xL10/220uF/25V,C178279
D1,0603,1,LED0603/RED/X0,C2286
"D10, D15, D16, D17, D18, D7, D8, D9",D_SOD-123,8,SOD123/MMSZ5240BT1G/10V,C82084
"D11, D12, D13, D14, D19, D20, D21, D22",D_SOD-123,8,SOD123/MMSZ5231B-7-F/5.1V,C85181
D2,0603,1,LED0603/RED/X1,C2286
D23,0603,1,LED0603/YELLOW/K1,C72038
D24,0603,1,LED0603/YELLOW/K2,C72038
D25,0603,1,LED0603/YELLOW/K3,C72038
D26,0603,1,LED0603/YELLOW/K4,C72038
"D27, D28",D_SMA,2,SMD/M7(1N4007),C95872
D3,0603,1,LED0603/RED/X2,C2286
D4,0603,1,LED0603/RED/X3,C2286
D5,0603,1,LED0603/RED/X4,C2286
D6,0603,1,LED0603/RED/X5,C2286
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MH 3.2mm M3,
J1,PinHeader_2x03_P2.54mm_Vertical,1,digitalInputToMega_Conn_02x03_Odd_Even,
J10,PinSocket_1x02_P2.54mm_Vertical,1,GND_Conn_01x02,
J11,PinHeader_2x02_P2.54mm_Vertical,1,digitalOutputFromMega_Conn_02x02_Odd_Even,
J12,PinHeader_1x02_P2.54mm_Vertical,1,analogInputFromMega_Conn_01x02,
"J13, J14",PinHeader_2x03_P2.54mm_Vertical,2,MotorOutputFromMega_Conn_02x03_Odd_Even,
J15,PinHeader_2x02_P2.54mm_Vertical,1,voltageSourceInput_Conn_02x02_Odd_Even,
J2,PinHeader_2x04_P2.54mm_Vertical,1,analogInputToMega_Conn_02x04_Odd_Even,
J3,"TerminalBlock_Phoenix_MKDS-1,5-16_1x16_P5.00mm_Horizontal",1,outputs_Screw_Terminal_01x16,
J4,"TerminalBlock_Phoenix_MKDS-1,5-16_1x16_P5.00mm_Horizontal",1,inputs_Screw_Terminal_01x16,
J5,PinSocket_1x01_P2.54mm_Vertical,1,24Vin_Conn_01x01,
J6,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,outputs_Screw_Terminal_01x03,
J7,PinSocket_1x02_P2.54mm_Vertical,1,10Vin_Conn_01x02,
J8,PinSocket_1x01_P2.54mm_Vertical,1,12Vin_Conn_01x01,
J9,PinSocket_1x01_P2.54mm_Vertical,1,5Vin_Conn_01x01,
"K1, K2, K3, K4",Relay_SPST_Omron-G5Q-1A,4,G5Q-1A4 DC24,C89311
"Q1, Q2",TO-220-3_Vertical,2,TIP31C,C963401
"R1, R13, R14, R15, R16, R2, R25, R26, R27, R28, R3, R37, R38, R39, R4, R40, R5, R6",0603,18,R0603/2K2,C4190
"R10, R11, R12, R7, R8, R9",0603,6,R0603/560R,C23204
"R17, R18, R19, R20, R21, R22, R23, R24, R29, R30, R31, R32, R33, R34, R35, R36, R49, R50",0402,18,R0402/1K,C11702
"R41, R42, R43, R44",0402,4,R0402/47K,C25792
"R45, R46, R47, R48",0402,4,R0402/20K,C25765
"RN1, RN2",R_Array_Concave_4x0603,2,R0603X4/10K,C29718
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG0,
TP10,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X2,
TP11,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X3,
TP12,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X4,
TP13,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC0,
TP14,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC1,
TP15,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC2,
TP16,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC3,
TP17,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_24V,
TP18,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_10V,
TP19,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC4,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG1,
TP20,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC5,
TP21,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC6,
TP22,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_ADC7,
TP23,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_12V,
TP24,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_5V,
TP25,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_PWM1,
TP26,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_PWM2,
TP27,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_Q1,
TP28,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_Q2,
TP29,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_Q3,
TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG4,
TP30,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_Q4,
TP31,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_010_1,
TP32,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_010_2,
TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG2,
TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG3,
TP6,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_XG5,
TP7,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X5,
TP8,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X0,
TP9,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP_X1,
