Designator,Mid X,Mid Y,Rotation,Layer
C1,150.021428,-68.15,270.0,top
C10,149.275,-79.635,90.0,top
C11,92.18,-88.81,90.0,top
C12,142.778571,-68.15,270.0,top
C13,135.535714,-68.15,270.0,top
C14,128.292857,-68.15,270.0,top
C15,121.05,-68.15,270.0,top
C16,140.225,-82.62,270.0,top
C17,127.75,-82.62,270.0,top
C18,127.1555,-92.535,270.0,top
C19,114.6805,-92.535,270.0,top
C2,171.75,-68.15,270.0,top
C20,130.025,-79.695,90.0,top
C21,116.9555,-89.66,90.0,top
C22,168.35,-95.195,270.0,top
C23,170.875,-120.685,270.0,top
C24,166.83,-101.715,90.0,top
C25,170.585,-127.215,90.0,top
C26,168.06,-101.715,90.0,top
C27,169.355,-127.215,90.0,top
C28,175.88,-103.0625,0.0,top
C29,178.405,-128.5625,0.0,top
C3,164.507142,-68.15,270.0,top
C30,143.8355,-109.135,270.0,top
C31,138.378,-134.295,180.0,top
C32,132.4355,-127.67,90.0,top
C33,161.006,-109.015,270.0,top
C34,155.5485,-134.175,180.0,top
C35,149.606,-127.55,90.0,top
C4,157.264285,-68.15,270.0,top
C5,177.85,-82.47,270.0,top
C6,165.375,-82.52,270.0,top
C7,159.475,-82.485,270.0,top
C8,147.125,-82.485,270.0,top
C9,167.65,-79.65,90.0,top
D1,108.4365,-67.55,180.0,top
D10,152.1,-69.575,270.0,top
D11,177.85,-78.77,90.0,top
D12,165.5,-78.77,90.0,top
D13,159.475,-78.76,90.0,top
D14,147.125,-78.76,90.0,top
D15,144.85,-69.825,270.0,top
D16,137.6,-69.675,270.0,top
D17,130.35,-70.025,270.0,top
D18,123.1,-69.875,270.0,top
D19,140.225,-78.82,90.0,top
D2,102.7765,-67.55,180.0,top
D20,127.875,-78.82,90.0,top
D21,127.1555,-88.81,90.0,top
D22,114.8055,-88.81,90.0,top
D23,75.75,-116.72,0.0,top
D24,87.275,-116.72,0.0,top
D25,98.875,-116.72,0.0,top
D26,110.4,-116.72,0.0,top
D27,164.39,-99.1125,90.0,top
