Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C5",CP_Radial_D5.0mm_P2.00mm,2,1uF,
"C3, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,100nF,
D1,D_DO-41_SOD81_P12.70mm_Horizontal,1,1N5822,
J1,PinHeader_1x01_P2.54mm_Vertical,1,(10V)IN+,
J10,PinHeader_1x01_P2.54mm_Vertical,1,(10V)OUTPUT-,
J11,PinHeader_1x01_P2.54mm_Vertical,1,(12V)OUTPUT+,
J12,PinHeader_1x01_P2.54mm_Vertical,1,(12V)OUTPUT-,
J13,PinHeader_1x01_P2.54mm_Vertical,1,24Vin_Conn_01x01,
J14,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,outputs_Screw_Terminal_01x03,
J15,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
J2,PinHeader_1x02_P2.54mm_Vertical,1,10Vin_Conn_01x02,
J3,PinHeader_1x01_P2.54mm_Vertical,1,12Vin_Conn_01x01,
J4,PinHeader_1x01_P2.54mm_Vertical,1,5Vin_Conn_01x01,
J5,PinHeader_1x02_P2.54mm_Vertical,1,GND_Conn_01x02,
J6,PinHeader_1x01_P2.54mm_Vertical,1,(10V)IN-,
J7,PinHeader_1x01_P2.54mm_Vertical,1,(12V)IN+,
J8,PinHeader_1x01_P2.54mm_Vertical,1,(12V)IN-,
J9,PinHeader_1x01_P2.54mm_Vertical,1,(10V)OUTPUT+,
U2,TO-220-3_Vertical,1,LM7805_TO220,
