Designator,Mid X,Mid Y,Rotation,Layer
C2,85.355112,-44.5,180.0,bottom
C3,86.7,-40.2,180.0,bottom
C4,74.9,-41.5,270.0,bottom
C5,70.5,-41.355112,270.0,bottom
D1,95.18,-29.55,0.0,top
J1,65.0,-35.0,180.0,bottom
J10,24.0,-53.5,180.0,bottom
J11,58.5,-53.5,0.0,top
J12,58.5,-35.0,0.0,top
J13,45.57,-34.94,0.0,top
J14,109.695,-48.0,90.0,top
J15,109.695,-32.5,90.0,top
J2,50.57,-39.94,180.0,top
J3,45.57,-29.94,0.0,top
J4,50.57,-29.94,0.0,top
J5,45.57,-39.94,180.0,top
J6,65.0,-53.5,180.0,bottom
J7,99.5,-53.5,0.0,top
J8,99.5,-35.0,0.0,top
J9,24.0,-35.0,180.0,bottom
U2,77.27,-31.895,0.0,bottom
