Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"J1, J2",PinSocket_2x03_P2.54mm_Vertical,2,MotorOutputFromMega_Conn_02x03_Odd_Even,
J10,PinSocket_2x02_P2.54mm_Vertical,1,gnd_Conn_02x02_Odd_Even,
J11,PinSocket_2x02_P2.54mm_Vertical,1,Vout_Conn_02x02_Odd_Even,
J12,PinSocket_1x05_P2.54mm_Vertical,1,WIFI_Conn_01x05,
J13,PinSocket_1x02_P2.54mm_Horizontal,1,I2C_Conn_01x02,
J14,PinSocket_2x02_P2.54mm_Vertical,1,pwmOutput_Conn_02x02_Odd_Even,
J15,PinSocket_2x02_P2.54mm_Horizontal,1,digital_Conn_02x02_Odd_Even,
J3,PinSocket_2x03_P2.54mm_Vertical,1,digitalInputToMega_Conn_02x03_Odd_Even,
J4,PinSocket_2x02_P2.54mm_Vertical,1,digitalOutputFromMega_Conn_02x02_Odd_Even,
J5,PinSocket_2x04_P2.54mm_Vertical,1,analogInputToMega_Conn_02x04_Odd_Even,
J6,PinSocket_2x02_P2.54mm_Vertical,1,voltageSourceInput_Conn_02x02_Odd_Even,
J7,PinSocket_1x02_P2.54mm_Vertical,1,analogInputFromMega_Conn_01x02,
J8,PinSocket_2x03_P2.54mm_Vertical,1,ICSP,
J9,PinSocket_1x01_P2.54mm_Vertical,1,Conn_01x01,
SW1,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,1,arduinoRESET_SW_DIP_x01,
SW2,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,1,resetWIFI_SW_DIP_x01,
SW3,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,WIFI_SW_DIP_x02,
