Designator,Mid X,Mid Y,Rotation,Layer
A1,112.71,-63.97,0.0,top
J1,134.8,-73.7,180.0,top
J10,62.37,-83.8,0.0,top
J11,62.4,-92.4,0.0,top
J12,67.415,-39.7,90.0,top
J13,65.0162,-100.516134,0.0,top
J14,63.66,-33.65,0.0,top
J15,66.3,-107.2,0.0,top
J2,152.3,-73.7,90.0,top
J3,84.8,-68.7,90.0,top
J4,114.8,-73.7,180.0,top
J5,144.8,-63.7,270.0,top
J6,84.8,-78.7,270.0,top
J7,171.8,-61.2,270.0,top
J8,63.6,-58.05,270.0,top
J9,61.125,-63.725,270.0,top
SW1,64.3982,-75.874,180.0,top
SW2,64.5,-69.25,180.0,top
SW3,64.525,-48.75,90.0,top
