"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Mega2560_R3_Shield","PCM_arduino-library:Arduino_Mega2560_R3_Shield",""
"2","J1, J2","2","MotorOutputFromMega_Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
"3","J3","1","digitalInputToMega_Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
"4","J4","1","digitalOutputFromMega_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"5","J5","1","analogInputToMega_Conn_02x04_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"6","J6","1","voltageSourceInput_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"7","J7","1","analogInputFromMega_Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"8","J8","1","ICSP","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
"9","J9","1","Conn_01x01","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"10","J10","1","gnd_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"11","J11","1","Vout_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"12","J12","1","WIFI_Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"13","J13","1","I2C_Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal",""
"14","J14","1","pwmOutput_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"15","J15","1","digital_Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Horizontal",""
"16","SW1","1","arduinoRESET_SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",""
"17","SW2","1","resetWIFI_SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",""
"18","SW3","1","WIFI_SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm",""
